Usuário_ID;Nome;Idade;País;Assinaturas;Horas de tela;Gênero Favorito;Última data de acesso
1;James Martinez;18;France;Premium;8026;Drama;12/05/2024
2;John Miller;23;USA;Premium;32175;Sci-Fi;05/02/2025
3;Emma Davis;60;UK;Basic;3589;Comedy;24/01/2025
4;Emma Miller;44;USA;Premium;26156;Documentary;25/03/2024
5;Jane Smith;68;USA;Standard;9093;Drama;14/01/2025
6;David Johnson;21;USA;Standard;61593;Romance;03/02/2025
7;John Hernandez;57;Canada;Standard;75547;Romance;05/01/2025
8;Katie Hernandez;68;USA;Standard;14523;Sci-Fi;30/10/2024
9;James Williams;39;UK;Basic;95014;Action;16/04/2024
10;Alex Davis;55;Mexico;Standard;69666;Horror;03/07/2024
11;Jane Miller;26;Japan;Standard;29031;Action;11/09/2024
12;Jane Martinez;62;USA;Standard;49039;Action;12/06/2024
13;Alex Martinez;65;Australia;Premium;71223;Comedy;08/08/2024
14;Alex Smith;35;Germany;Premium;7363;Sci-Fi;02/10/2024
15;Michael Jones;68;USA;Premium;3593;Sci-Fi;25/07/2024
16;Chris Miller;39;Australia;Premium;76819;Comedy;11/10/2024
17;Chris Davis;74;UK;Standard;6107;Drama;03/07/2024
18;Emma Williams;59;Canada;Premium;81346;Documentary;08/08/2024
19;Alex Johnson;63;Brazil;Premium;96364;Action;08/08/2024
20;John Jones;67;Canada;Standard;4606;Comedy;07/12/2024
21;Michael Williams;47;France;Standard;63743;Horror;21/01/2025
22;James Martinez;46;UK;Premium;62074;Comedy;19/04/2024
23;Sarah Davis;40;UK;Basic;45159;Drama;08/04/2024
24;John Smith;46;UK;Basic;38891;Horror;16/10/2024
25;Alex Brown;37;Canada;Basic;4182;Horror;26/05/2024
26;Chris Johnson;26;Brazil;Premium;9546;Sci-Fi;23/08/2024
27;James Jones;17;Mexico;Standard;2536;Documentary;29/09/2024
28;Michael Johnson;37;France;Premium;93605;Comedy;07/01/2025
29;Michael Johnson;59;Mexico;Basic;97197;Drama;03/11/2024
30;Sarah Smith;67;Australia;Basic;54257;Action;11/02/2025
31;Chris Jones;14;Germany;Premium;8189;Drama;06/08/2024
32;John Williams;27;Canada;Standard;56886;Sci-Fi;01/02/2025
33;Jane Brown;59;UK;Standard;6728;Sci-Fi;21/07/2024
34;David Davis;56;Mexico;Basic;83585;Documentary;11/07/2024
35;Emma Hernandez;52;India;Basic;9107;Sci-Fi;04/12/2024
36;Michael Jones;26;UK;Basic;70381;Comedy;06/06/2024
37;Sarah Williams;64;Germany;Basic;69384;Documentary;28/06/2024
38;David Martinez;80;Brazil;Premium;43161;Drama;08/08/2024
39;Emma Smith;70;USA;Standard;135;Comedy;27/10/2024
40;Sarah Hernandez;15;Brazil;Premium;9147;Horror;30/04/2024
41;John Jones;23;Germany;Standard;40484;Romance;29/10/2024
42;James Williams;40;Canada;Premium;61093;Romance;02/10/2024
43;David Brown;35;Canada;Premium;83496;Documentary;08/06/2024
44;Chris Garcia;68;Japan;Basic;14566;Documentary;12/04/2024
45;Chris Jones;50;USA;Basic;37008;Action;30/03/2024
46;John Johnson;45;India;Standard;47483;Drama;01/11/2024
47;Sarah Smith;16;Brazil;Premium;32121;Documentary;13/04/2024
48;Sarah Garcia;40;Australia;Basic;19708;Comedy;19/10/2024
49;Michael Brown;57;Australia;Premium;42058;Sci-Fi;18/09/2024
50;David Hernandez;72;Brazil;Basic;4794;Action;13/07/2024
51;Sarah Jones;53;Germany;Standard;124;Horror;09/02/2025
52;Alex Jones;55;Japan;Basic;15764;Action;28/12/2024
53;John Smith;65;Canada;Standard;58928;Comedy;21/02/2025
54;Chris Martinez;27;France;Standard;36756;Romance;27/02/2025
55;David Hernandez;72;USA;Premium;88942;Horror;11/12/2024
56;Alex Davis;16;Mexico;Premium;73971;Sci-Fi;11/08/2024
57;Jane Garcia;55;Japan;Basic;67243;Documentary;01/12/2024
58;David Martinez;29;USA;Premium;62592;Horror;02/05/2024
59;Michael Martinez;41;Japan;Premium;61138;Drama;29/09/2024
60;Chris Smith;49;Australia;Premium;9978;Comedy;14/08/2024
61;Alex Hernandez;70;Canada;Standard;1703;Horror;11/07/2024
62;James Hernandez;70;India;Standard;25157;Drama;07/05/2024
63;Katie Hernandez;68;France;Basic;24753;Romance;15/02/2025
64;David Hernandez;55;France;Basic;63746;Action;28/10/2024
65;Katie Martinez;28;USA;Premium;3315;Comedy;10/01/2025
